page_one_based,chapter,chapter_page_one_based,chapter_title,path,bytes,sha256,width,height,nonwhite_pixels_below_250,nonwhite_fraction,content_bbox,touches_image_edge
57,60,12,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-057.png,352673,71CF6E065FB89874B8E6EC513025E76AFB5FB96EF7500A7452F7784A392F5009,1020,1320,100595,0.07471405,"138,161,882,1166",false
58,60,13,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-058.png,229994,980B66728EE4F645709935B90CAEC83A182312A1A23DC4C865DD1B88E05C250F,1020,1320,65242,0.04845663,"138,161,882,1164",false
59,60,14,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-059.png,251252,D77618A7FBF0C63BB536A97594469EDEF208078A06D857EF08CF7FC109BB2165,1020,1320,70157,0.05210710,"138,161,882,1165",false
60,60,15,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-060.png,353445,3B4E7C252E396E58515CD1949B95DD47321D67EC42EBE57D8E0BB7281274BCBB,1020,1320,100836,0.07489305,"138,161,882,1166",false
61,60,16,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-061.png,239013,2B98669043582E692F59E5FD9C4F6B5E00C12E828F3129EC93235585CF4BBB6B,1020,1320,64566,0.04795455,"138,161,882,1166",false
62,60,17,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-062.png,265859,5897B6C769DC0240E3BDF47520F5E159962010C2669FB4A2E5B08BE8DD9A2090,1020,1320,72038,0.05350416,"138,161,882,1167",false
63,60,18,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-063.png,253216,A02928497DB1F19D8AEBEBF0C6018EB602F5C1B49CE8938B099F9A639BEAB546,1020,1320,69280,0.05145573,"138,161,882,1167",false
64,60,19,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-064.png,298134,1B317FD533E1D977607D77B520C06D5F5CAB5E322BB05E7A6BCBBB43C583ADA5,1020,1320,81954,0.06086898,"138,161,882,1166",false
65,60,20,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-065.png,261635,116BDAC30DFDBC19BCC88CE1E8038B22755A3CBC329A382E074EDAA1D5B68662,1020,1320,71584,0.05316696,"138,161,882,1167",false
66,60,21,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-066.png,281264,5C7D0C330C25A6FCF7B4CE0E01163F8CD237D89CA495949D1EB1F954B1F7E64A,1020,1320,77611,0.05764335,"138,161,882,1168",false
67,60,22,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-067.png,343288,41B5FB3FABF50B7F735FBD301715DCFB909C3CD917072D288154D85B2DEAE6F6,1020,1320,97845,0.07267157,"138,161,882,1169",false
68,60,23,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-068.png,274930,A758DC4C165F453E16A9EF35B58B8EE733F8520A0309B2C2716D1C75516662CD,1020,1320,74051,0.05499926,"138,161,882,1169",false
69,60,24,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-069.png,248126,67D8C7ED2B80EE872A99EC37C8C06F7E3360230F8A5556DDEE914F71E742412B,1020,1320,68249,0.05068999,"138,161,882,1161",false
70,60,25,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-070.png,245912,698B6C6F0749A776FF4B5D66C35E68F52F0B6346CA4B5B795C82F1DA68252855,1020,1320,68125,0.05059789,"138,161,882,1168",false
71,60,26,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-071.png,298066,8CF061AC841C6FF74163E36BE9AE38B44D96E7D89A9B9EF40F88F8637449D9BC,1020,1320,86687,0.06438428,"138,161,882,1168",false
72,60,27,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-072.png,201316,35563D02EE5446B499411CA50E77403916091F03AFBE6DC5877197A502476242,1020,1320,53254,0.03955288,"138,161,882,1168",false
73,60,28,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-073.png,258949,E4F2EF1821A790040C3D41C0E3A55C470251C323F63BADF27DF3AC2750A52A2E,1020,1320,72313,0.05370841,"138,161,882,1168",false
74,60,29,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-074.png,284049,E43493BB727C217FF61D0CA3F26D2965BFB74507E31D8B51F82FC6CBE431484B,1020,1320,77905,0.05786171,"138,161,882,1169",false
75,60,30,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-075.png,273779,22BE8CEAD1AB8E87A14518A461AE97AE379EE5FFD8678F628000331227695ACB,1020,1320,75045,0.05573752,"138,161,882,1168",false
76,60,31,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-076.png,329830,926979C1432872840715AC85286CAC6065C9F837E1CD87D34C07DB8F3C0FC706,1020,1320,92621,0.06879159,"138,161,882,1167",false
77,60,32,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-077.png,361763,ED7051D371F8024CADC5BF682FF45FE8BECADC60729859107FB6FBC709871F1A,1020,1320,102697,0.07627525,"138,161,882,1166",false
78,60,33,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-078.png,351689,E5221801FCD57A34C0E07180611E01FCA6C383ADBA2D47C9DD9ED0C95F79083D,1020,1320,100550,0.07468063,"138,161,882,1167",false
79,60,34,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-079.png,293542,E5B80632B8AC4536CA4F0FB5116917D729C2481969A507620962A4FE93959B3C,1020,1320,82087,0.06096777,"137,161,882,1168",false
80,60,35,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-080.png,257506,03B57C489FD54494D46A05B5ACD712DEADED5CD40CE082C93BCC1CEE7DA7A140,1020,1320,72681,0.05398173,"138,161,882,1168",false
81,60,36,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-081.png,280685,BDDFAD7B897D12891D58B5998C1E11AF4C84FCAF363C6B482F804D4D6A3EDB6B,1020,1320,77413,0.05749629,"138,161,882,1168",false
82,60,37,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-082.png,316492,9B782556A50D13BE2D672C9581EEFC48E299EA1EFA2A0A56103E3DC88B9C8FA6,1020,1320,88874,0.06600862,"138,161,882,1170",false
83,60,38,크리스탈린 코호몰로지,evidence/visual-qa-r3/pages-120dpi/page-083.png,330576,4D9E3ABE9E23474A8AEDBB0408ECD0CBBB5D3D1CECDCAEC54F6E1EB0C667B801,1020,1320,93577,0.06950163,"138,161,882,1166",false
