full_label	tag	aux_document	local_label	value_source
etale-lemma-universally-injective-unramified	05VH	etale	lemma-universally-injective-unramified	permanent_tag
groupoids-equation-invariants	03BF	groupoids	equation-invariants	permanent_tag
groupoids-proposition-finite-flat-equivalence	03BM	groupoids	proposition-finite-flat-equivalence	permanent_tag
groupoids-section-groupoids	0230	groupoids	section-groupoids	permanent_tag
more-algebra-definition-extension-valuation-rings	0ASG	more-algebra	definition-extension-valuation-rings	permanent_tag
more-groupoids-lemma-sheaf-differentials	04R9	more-groupoids	lemma-sheaf-differentials	permanent_tag
more-morphisms-lemma-lci-permanence	069M	more-morphisms	lemma-lci-permanence	permanent_tag
morphisms-definition-normalization	035N	morphisms	definition-normalization	permanent_tag
morphisms-lemma-closed-immersion-unramified	02GC	morphisms	lemma-closed-immersion-unramified	permanent_tag
morphisms-lemma-dimension-fibre-specialization	06RU	morphisms	lemma-dimension-fibre-specialization	permanent_tag
morphisms-lemma-finite-type-noetherian	01T6	morphisms	lemma-finite-type-noetherian	permanent_tag
morphisms-lemma-flat-base-change-scheme-theoretic-image	081I	morphisms	lemma-flat-base-change-scheme-theoretic-image	permanent_tag
morphisms-lemma-flat-unramified-etale	02GV	morphisms	lemma-flat-unramified-etale	permanent_tag
morphisms-lemma-fppf-open	01UA	morphisms	lemma-fppf-open	permanent_tag
morphisms-lemma-identify-finite-type-points	02J2	morphisms	lemma-identify-finite-type-points	permanent_tag
morphisms-lemma-immersion-locally-finite-type	01T5	morphisms	lemma-immersion-locally-finite-type	permanent_tag
morphisms-lemma-open-immersion-etale	02GP	morphisms	lemma-open-immersion-etale	permanent_tag
morphisms-lemma-open-immersion-unramified	02GB	morphisms	lemma-open-immersion-unramified	permanent_tag
morphisms-lemma-permanence-finite-type	01T8	morphisms	lemma-permanence-finite-type	permanent_tag
morphisms-lemma-quasi-finite-at-point-characterize	01TH	morphisms	lemma-quasi-finite-at-point-characterize	permanent_tag
morphisms-lemma-reach-points-scheme-theoretic-image	02JQ	morphisms	lemma-reach-points-scheme-theoretic-image	permanent_tag
morphisms-lemma-unramified-at-point	02GF	morphisms	lemma-unramified-at-point	permanent_tag
morphisms-lemma-unramified-omega-zero	02G5	morphisms	lemma-unramified-omega-zero	permanent_tag
morphisms-section-scheme-theoretic-image	01R5	morphisms	section-scheme-theoretic-image	permanent_tag
properties-lemma-immersion-into-noetherian	01OX	properties	lemma-immersion-into-noetherian	permanent_tag
properties-lemma-Noetherian-topology	01OZ	properties	lemma-Noetherian-topology	permanent_tag
sites-lemma-mono-epi-sheaves	00WN	sites	lemma-mono-epi-sheaves	permanent_tag
spaces-definition-separated	02X5	spaces	definition-separated	permanent_tag
spaces-descent-definition-etale-smooth-local-source-target	0CFZ	spaces-descent	definition-etale-smooth-local-source-target	permanent_tag
spaces-descent-definition-local-source-target	06F8	spaces-descent	definition-local-source-target	permanent_tag
spaces-descent-lemma-descending-property-etale	042B	spaces-descent	lemma-descending-property-etale	permanent_tag
spaces-descent-lemma-descending-property-flat	041W	spaces-descent	lemma-descending-property-flat	permanent_tag
spaces-descent-lemma-descending-property-isomorphism	041Y	spaces-descent	lemma-descending-property-isomorphism	permanent_tag
spaces-descent-lemma-descending-property-locally-finite-presentation	041T	spaces-descent	lemma-descending-property-locally-finite-presentation	permanent_tag
spaces-descent-lemma-descending-property-locally-finite-type	041S	spaces-descent	lemma-descending-property-locally-finite-type	permanent_tag
spaces-descent-lemma-descending-property-smooth	0429	spaces-descent	lemma-descending-property-smooth	permanent_tag
spaces-descent-lemma-descending-property-unramified	042A	spaces-descent	lemma-descending-property-unramified	permanent_tag
spaces-descent-lemma-etale-etale-local-source	06F4	spaces-descent	lemma-etale-etale-local-source	permanent_tag
spaces-descent-lemma-etale-smooth-local-source-target-characterize	0CG1	spaces-descent	lemma-etale-smooth-local-source-target-characterize	permanent_tag
spaces-descent-lemma-etale-smooth-local-source-target-implies	0CG0	spaces-descent	lemma-etale-smooth-local-source-target-implies	permanent_tag
spaces-descent-lemma-flat-finitely-presented-permanence	0AHC	spaces-descent	lemma-flat-finitely-presented-permanence	permanent_tag
spaces-descent-lemma-local-source-target-characterize	06FA	spaces-descent	lemma-local-source-target-characterize	permanent_tag
spaces-descent-lemma-local-source-target-implies	06F9	spaces-descent	lemma-local-source-target-implies	permanent_tag
spaces-descent-lemma-locally-finite-presentation-fppf-local-source	06EV	spaces-descent	lemma-locally-finite-presentation-fppf-local-source	permanent_tag
spaces-descent-lemma-locally-finite-type-fppf-local-source	06EW	spaces-descent	lemma-locally-finite-type-fppf-local-source	permanent_tag
spaces-descent-lemma-smooth-local-source-target	06FB	spaces-descent	lemma-smooth-local-source-target	permanent_tag
spaces-descent-lemma-smooth-permanence	0AHE	spaces-descent	lemma-smooth-permanence	permanent_tag
spaces-descent-remark-list-etale-smooth-local-source-target	0CG3	spaces-descent	remark-list-etale-smooth-local-source-target	permanent_tag
spaces-descent-remark-list-local-source-target	06FC	spaces-descent	remark-list-local-source-target	permanent_tag
spaces-groupoids-definition-group-space	043H	spaces-groupoids	definition-group-space	permanent_tag
spaces-groupoids-definition-pseudo-torsor	04TW	spaces-groupoids	definition-pseudo-torsor	permanent_tag
spaces-groupoids-definition-stabilizer-groupoid	0448	spaces-groupoids	definition-stabilizer-groupoid	permanent_tag
spaces-groupoids-lemma-2-cartesian-inertia	06PC	spaces-groupoids	lemma-2-cartesian-inertia	permanent_tag
spaces-groupoids-lemma-cartesian-square-of-morphism	04Y4	spaces-groupoids	lemma-cartesian-square-of-morphism	permanent_tag
spaces-groupoids-lemma-criterion-fibre-product	04ZN	spaces-groupoids	lemma-criterion-fibre-product	permanent_tag
spaces-groupoids-lemma-diagonal	0455	spaces-groupoids	lemma-diagonal	permanent_tag
spaces-groupoids-lemma-group-quotient-gerbe	06PF	spaces-groupoids	lemma-group-quotient-gerbe	permanent_tag
spaces-groupoids-lemma-group-scheme-separated	06P6	spaces-groupoids	lemma-group-scheme-separated	permanent_tag
spaces-groupoids-lemma-groupoid-pre-equivalence	043X	spaces-groupoids	lemma-groupoid-pre-equivalence	permanent_tag
spaces-groupoids-lemma-open-over-which-unramified-or-lqf	0DSJ	spaces-groupoids	lemma-open-over-which-unramified-or-lqf	permanent_tag
spaces-groupoids-lemma-pseudo-torsor-implications	0DSK	spaces-groupoids	lemma-pseudo-torsor-implications	permanent_tag
spaces-groupoids-lemma-quotient-stack-2-cartesian	04M9	spaces-groupoids	lemma-quotient-stack-2-cartesian	permanent_tag
spaces-groupoids-lemma-quotient-stack-morphisms	044V	spaces-groupoids	lemma-quotient-stack-morphisms	permanent_tag
spaces-groupoids-lemma-quotient-stack-objects	044X	spaces-groupoids	lemma-quotient-stack-objects	permanent_tag
spaces-groupoids-lemma-quotient-stack-restrict	046S	spaces-groupoids	lemma-quotient-stack-restrict	permanent_tag
spaces-groupoids-lemma-quotient-stack-restrict-equivalence	046T	spaces-groupoids	lemma-quotient-stack-restrict-equivalence	permanent_tag
spaces-groupoids-lemma-when-gerbe	06PE	spaces-groupoids	lemma-when-gerbe	permanent_tag
spaces-more-groupoids-definition-split-at-point	04RK	spaces-more-groupoids	definition-split-at-point	permanent_tag
spaces-more-groupoids-lemma-group-scheme-over-field-separated	08BH	spaces-more-groupoids	lemma-group-scheme-over-field-separated	permanent_tag
spaces-more-groupoids-lemma-groupoid-on-field-dimension-equal-stabilizer	06FF	spaces-more-groupoids	lemma-groupoid-on-field-dimension-equal-stabilizer	permanent_tag
spaces-more-groupoids-lemma-property-G-invariant	06R4	spaces-more-groupoids	lemma-property-G-invariant	permanent_tag
spaces-more-groupoids-lemma-quasi-splitting-affine-scheme	04S0	spaces-more-groupoids	lemma-quasi-splitting-affine-scheme	permanent_tag
spaces-more-groupoids-lemma-splitting-affine-scheme	0DTE	spaces-more-groupoids	lemma-splitting-affine-scheme	permanent_tag
spaces-more-groupoids-lemma-strong-splitting-affine-scheme	04RZ	spaces-more-groupoids	lemma-strong-splitting-affine-scheme	permanent_tag
spaces-more-groupoids-proposition-group-space-scheme-over-field	0B8G	spaces-more-groupoids	proposition-group-space-scheme-over-field	permanent_tag
spaces-more-morphisms-lemma-composition-lci	06C8	spaces-more-morphisms	lemma-composition-lci	permanent_tag
spaces-more-morphisms-lemma-descending-property-lci	0CHM	spaces-more-morphisms	lemma-descending-property-lci	permanent_tag
spaces-more-morphisms-lemma-flat-base-change-lci	06C7	spaces-more-morphisms	lemma-flat-base-change-lci	permanent_tag
spaces-more-morphisms-lemma-lci-syntomic-local-source	0CHN	spaces-more-morphisms	lemma-lci-syntomic-local-source	permanent_tag
spaces-more-morphisms-lemma-slice	06LW	spaces-more-morphisms	lemma-slice	permanent_tag
spaces-more-morphisms-lemma-universally-injective-unramified	05W6	spaces-more-morphisms	lemma-universally-injective-unramified	permanent_tag
spaces-more-morphisms-section-lci	06C3	spaces-more-morphisms	section-lci	permanent_tag
spaces-morphisms-definition-locally-quasi-finite	03XJ	spaces-morphisms	definition-locally-quasi-finite	permanent_tag
spaces-morphisms-definition-proper	03ZM	spaces-morphisms	definition-proper	permanent_tag
spaces-morphisms-example-finite-separable-needed	03KI	spaces-morphisms	example-finite-separable-needed	permanent_tag
spaces-morphisms-lemma-base-change-etale	0466	spaces-morphisms	lemma-base-change-etale	permanent_tag
spaces-morphisms-lemma-base-change-finite-presentation	03XR	spaces-morphisms	lemma-base-change-finite-presentation	permanent_tag
spaces-morphisms-lemma-base-change-finite-type	03XH	spaces-morphisms	lemma-base-change-finite-type	permanent_tag
spaces-morphisms-lemma-base-change-flat	03MO	spaces-morphisms	lemma-base-change-flat	permanent_tag
spaces-morphisms-lemma-base-change-module-flat	05VW	spaces-morphisms	lemma-base-change-module-flat	permanent_tag
spaces-morphisms-lemma-base-change-quasi-finite	03XL	spaces-morphisms	lemma-base-change-quasi-finite	permanent_tag
spaces-morphisms-lemma-base-change-smooth	03ZE	spaces-morphisms	lemma-base-change-smooth	permanent_tag
spaces-morphisms-lemma-base-change-unramified	03ZJ	spaces-morphisms	lemma-base-change-unramified	permanent_tag
spaces-morphisms-lemma-characterize-proper	0A40	spaces-morphisms	lemma-characterize-proper	permanent_tag
spaces-morphisms-lemma-closed-immersion-finite-presentation	084Q	spaces-morphisms	lemma-closed-immersion-finite-presentation	permanent_tag
spaces-morphisms-lemma-closed-immersion-proper	04XZ	spaces-morphisms	lemma-closed-immersion-proper	permanent_tag
spaces-morphisms-lemma-compare-tr-deg	06RX	spaces-morphisms	lemma-compare-tr-deg	permanent_tag
spaces-morphisms-lemma-compose-after-separated	03KR	spaces-morphisms	lemma-compose-after-separated	permanent_tag
spaces-morphisms-lemma-composition-affine	03WH	spaces-morphisms	lemma-composition-affine	permanent_tag
spaces-morphisms-lemma-composition-etale	0465	spaces-morphisms	lemma-composition-etale	permanent_tag
spaces-morphisms-lemma-composition-finite-presentation	03XQ	spaces-morphisms	lemma-composition-finite-presentation	permanent_tag
spaces-morphisms-lemma-composition-finite-type	03XG	spaces-morphisms	lemma-composition-finite-type	permanent_tag
spaces-morphisms-lemma-composition-flat	03MN	spaces-morphisms	lemma-composition-flat	permanent_tag
spaces-morphisms-lemma-composition-integral	03ZR	spaces-morphisms	lemma-composition-integral	permanent_tag
spaces-morphisms-lemma-composition-module-flat	05VX	spaces-morphisms	lemma-composition-module-flat	permanent_tag
spaces-morphisms-lemma-composition-proper	04XY	spaces-morphisms	lemma-composition-proper	permanent_tag
spaces-morphisms-lemma-composition-quasi-compact	03HG	spaces-morphisms	lemma-composition-quasi-compact	permanent_tag
spaces-morphisms-lemma-composition-quasi-finite	03XK	spaces-morphisms	lemma-composition-quasi-finite	permanent_tag
spaces-morphisms-lemma-composition-separated	03KQ	spaces-morphisms	lemma-composition-separated	permanent_tag
spaces-morphisms-lemma-composition-smooth	03ZD	spaces-morphisms	lemma-composition-smooth	permanent_tag
spaces-morphisms-lemma-composition-unramified	03ZI	spaces-morphisms	lemma-composition-unramified	permanent_tag
spaces-morphisms-lemma-diagonal-unramified-morphism	05W1	spaces-morphisms	lemma-diagonal-unramified-morphism	permanent_tag
spaces-morphisms-lemma-dimension-fibre-at-a-point	04NQ	spaces-morphisms	lemma-dimension-fibre-at-a-point	permanent_tag
spaces-morphisms-lemma-etale-flat	0467	spaces-morphisms	lemma-etale-flat	permanent_tag
spaces-morphisms-lemma-etale-locally-finite-presentation	0468	spaces-morphisms	lemma-etale-locally-finite-presentation	permanent_tag
spaces-morphisms-lemma-etale-locally-finite-type	06LT	spaces-morphisms	lemma-etale-locally-finite-type	permanent_tag
spaces-morphisms-lemma-etale-permanence	05W3	spaces-morphisms	lemma-etale-permanence	permanent_tag
spaces-morphisms-lemma-etale-universally-injective-open	05W5	spaces-morphisms	lemma-etale-universally-injective-open	permanent_tag
spaces-morphisms-lemma-etale-unramified	06CR	spaces-morphisms	lemma-etale-unramified	permanent_tag
spaces-morphisms-lemma-finite-presentation-finite-type	0464	spaces-morphisms	lemma-finite-presentation-finite-type	permanent_tag
spaces-morphisms-lemma-finite-presentation-permanence	05WT	spaces-morphisms	lemma-finite-presentation-permanence	permanent_tag
spaces-morphisms-lemma-finite-type-points-morphism	06EI	spaces-morphisms	lemma-finite-type-points-morphism	permanent_tag
spaces-morphisms-lemma-flat-at-point-etale-local-rings	04NG	spaces-morphisms	lemma-flat-at-point-etale-local-rings	permanent_tag
spaces-morphisms-lemma-flat-base-change-scheme-theoretic-image	089E	spaces-morphisms	lemma-flat-base-change-scheme-theoretic-image	permanent_tag
spaces-morphisms-lemma-flat-permanence	05VY	spaces-morphisms	lemma-flat-permanence	permanent_tag
spaces-morphisms-lemma-identify-finite-type-points	06EH	spaces-morphisms	lemma-identify-finite-type-points	permanent_tag
spaces-morphisms-lemma-image-proper-is-proper	08AJ	spaces-morphisms	lemma-image-proper-is-proper	permanent_tag
spaces-morphisms-lemma-image-universally-closed-separated	05Z2	spaces-morphisms	lemma-image-universally-closed-separated	permanent_tag
spaces-morphisms-lemma-immersion-locally-finite-type	06ED	spaces-morphisms	lemma-immersion-locally-finite-type	permanent_tag
spaces-morphisms-lemma-lift-valuation-ring-through-flat-morphism	089F	spaces-morphisms	lemma-lift-valuation-ring-through-flat-morphism	permanent_tag
spaces-morphisms-lemma-locally-finite-type-locally-noetherian	04ZK	spaces-morphisms	lemma-locally-finite-type-locally-noetherian	permanent_tag
spaces-morphisms-lemma-locally-quasi-finite	06RW	spaces-morphisms	lemma-locally-quasi-finite	permanent_tag
spaces-morphisms-lemma-locally-quasi-finite-rel-dimension-0	04NV	spaces-morphisms	lemma-locally-quasi-finite-rel-dimension-0	permanent_tag
spaces-morphisms-lemma-monomorphism-loc-finite-type-loc-quasi-finite	0463	spaces-morphisms	lemma-monomorphism-loc-finite-type-loc-quasi-finite	permanent_tag
spaces-morphisms-lemma-noetherian-finite-type-finite-presentation	06G4	spaces-morphisms	lemma-noetherian-finite-type-finite-presentation	permanent_tag
spaces-morphisms-lemma-normalization	07U4	spaces-morphisms	lemma-normalization	permanent_tag
spaces-morphisms-lemma-open-immersion-locally-finite-presentation	06CN	spaces-morphisms	lemma-open-immersion-locally-finite-presentation	permanent_tag
spaces-morphisms-lemma-permanence-finite-type	0462	spaces-morphisms	lemma-permanence-finite-type	permanent_tag
spaces-morphisms-lemma-permanence-quasi-finite	03XN	spaces-morphisms	lemma-permanence-quasi-finite	permanent_tag
spaces-morphisms-lemma-permanence-unramified	06G6	spaces-morphisms	lemma-permanence-unramified	permanent_tag
spaces-morphisms-lemma-prepare-normalization	0BB1	spaces-morphisms	lemma-prepare-normalization	permanent_tag
spaces-morphisms-lemma-quasi-compact-existence-universally-closed	03KA	spaces-morphisms	lemma-quasi-compact-existence-universally-closed	permanent_tag
spaces-morphisms-lemma-quasi-compact-local	03KG	spaces-morphisms	lemma-quasi-compact-local	permanent_tag
spaces-morphisms-lemma-quasi-compact-permanence	03KS	spaces-morphisms	lemma-quasi-compact-permanence	permanent_tag
spaces-morphisms-lemma-quasi-compact-scheme-theoretic-image	082Z	spaces-morphisms	lemma-quasi-compact-scheme-theoretic-image	permanent_tag
spaces-morphisms-lemma-scheme-theoretic-image-of-partial-section	0CP3	spaces-morphisms	lemma-scheme-theoretic-image-of-partial-section	permanent_tag
spaces-morphisms-lemma-separated-diagonal-proper	04Y0	spaces-morphisms	lemma-separated-diagonal-proper	permanent_tag
spaces-morphisms-lemma-smooth-flat	04TA	spaces-morphisms	lemma-smooth-flat	permanent_tag
spaces-morphisms-lemma-smooth-locally-finite-presentation	04AJ	spaces-morphisms	lemma-smooth-locally-finite-presentation	permanent_tag
spaces-morphisms-lemma-universally-closed-permanence	04NX	spaces-morphisms	lemma-universally-closed-permanence	permanent_tag
spaces-morphisms-lemma-universally-closed-quasi-compact	04XW	spaces-morphisms	lemma-universally-closed-quasi-compact	permanent_tag
spaces-morphisms-lemma-unramified-flat-lfp-etale	06LU	spaces-morphisms	lemma-unramified-flat-lfp-etale	permanent_tag
spaces-morphisms-lemma-unramified-locally-finite-type	05VZ	spaces-morphisms	lemma-unramified-locally-finite-type	permanent_tag
spaces-morphisms-lemma-unramified-quasi-finite	05W0	spaces-morphisms	lemma-unramified-quasi-finite	permanent_tag
spaces-morphisms-lemma-usual-enough	0A3W	spaces-morphisms	lemma-usual-enough	permanent_tag
spaces-morphisms-lemma-where-smooth	0DZI	spaces-morphisms	lemma-where-smooth	permanent_tag
spaces-morphisms-proposition-generic-flatness-reduced	06QS	spaces-morphisms	proposition-generic-flatness-reduced	permanent_tag
spaces-morphisms-proposition-locally-quasi-finite-separated-over-scheme	03XX	spaces-morphisms	proposition-locally-quasi-finite-separated-over-scheme	permanent_tag
spaces-morphisms-section-normalization	07U3	spaces-morphisms	section-normalization	permanent_tag
spaces-morphisms-section-scheme-theoretic-image	082W	spaces-morphisms	section-scheme-theoretic-image	permanent_tag
spaces-over-fields-definition-integral-algebraic-space	0AD4	spaces-over-fields	definition-integral-algebraic-space	permanent_tag
spaces-over-fields-lemma-locally-finite-type-dim-zero	06LZ	spaces-over-fields	lemma-locally-finite-type-dim-zero	permanent_tag
spaces-over-fields-lemma-locally-quasi-finite-over-field	06S0	spaces-over-fields	lemma-locally-quasi-finite-over-field	permanent_tag
spaces-over-fields-lemma-mono-towards-locally-quasi-finite-over-field	06S1	spaces-over-fields	lemma-mono-towards-locally-quasi-finite-over-field	permanent_tag
spaces-over-fields-lemma-smooth-regular	06M1	spaces-over-fields	lemma-smooth-regular	permanent_tag
spaces-over-fields-section-integral-spaces	0AD3	spaces-over-fields	section-integral-spaces	permanent_tag
spaces-properties-lemma-quasi-compact-quasi-separated-spectral	0A4G	spaces-properties	lemma-quasi-compact-quasi-separated-spectral	permanent_tag
spaces-properties-lemma-regular	06LQ	spaces-properties	lemma-regular	permanent_tag
stacks-definition-gerbe-over-stack-in-groupoids	06P2	stacks	definition-gerbe-over-stack-in-groupoids	permanent_tag
stacks-lemma-base-change-gerbe	06P3	stacks	lemma-base-change-gerbe	permanent_tag
stacks-lemma-characterize-essentially-surjective-when-ff	046N	stacks	lemma-characterize-essentially-surjective-when-ff	permanent_tag
stacks-lemma-composition-gerbe	06R3	stacks	lemma-composition-gerbe	permanent_tag
stacks-lemma-gerbe-descent	06P4	stacks	lemma-gerbe-descent	permanent_tag
stacks-lemma-when-gerbe	06P1	stacks	lemma-when-gerbe	permanent_tag
stacks-properties-definition-immersion	04YL	stacks-properties	definition-immersion	permanent_tag
stacks-properties-definition-reduced-induced-stack	050C	stacks-properties	definition-reduced-induced-stack	permanent_tag
stacks-properties-definition-residual-gerbe	06MU	stacks-properties	definition-residual-gerbe	permanent_tag
stacks-properties-item-etale	06MA	stacks-properties	item-etale	permanent_tag
stacks-properties-item-loc-quasi-finite	06M7	stacks-properties	item-loc-quasi-finite	permanent_tag
stacks-properties-lemma-base-change-surjective	04ZU	stacks-properties	lemma-base-change-surjective	permanent_tag
stacks-properties-lemma-characterize-surjective	04XI	stacks-properties	lemma-characterize-surjective	permanent_tag
stacks-properties-lemma-check-property-after-precomposing	06M2	stacks-properties	lemma-check-property-after-precomposing	permanent_tag
stacks-properties-lemma-check-property-covering	04XD	stacks-properties	lemma-check-property-covering	permanent_tag
stacks-properties-lemma-check-property-weak-covering	06TY	stacks-properties	lemma-check-property-weak-covering	permanent_tag
stacks-properties-lemma-composition-surjective	04ZT	stacks-properties	lemma-composition-surjective	permanent_tag
stacks-properties-lemma-descent-surjective	06PM	stacks-properties	lemma-descent-surjective	permanent_tag
stacks-properties-lemma-flat-cover-by-field	06MM	stacks-properties	lemma-flat-cover-by-field	permanent_tag
stacks-properties-lemma-immersion-monomorphism	0504	stacks-properties	lemma-immersion-monomorphism	permanent_tag
stacks-properties-lemma-map-into-reduction	050B	stacks-properties	lemma-map-into-reduction	permanent_tag
stacks-properties-lemma-monomorphism	04ZZ	stacks-properties	lemma-monomorphism	permanent_tag
stacks-properties-lemma-monomorphism-injective-points	0500	stacks-properties	lemma-monomorphism-injective-points	permanent_tag
stacks-properties-lemma-open-substacks	06FJ	stacks-properties	lemma-open-substacks	permanent_tag
stacks-properties-lemma-points-cartesian	04XH	stacks-properties	lemma-points-cartesian	permanent_tag
stacks-properties-lemma-quasi-compact-stack	04YC	stacks-properties	lemma-quasi-compact-stack	permanent_tag
stacks-properties-lemma-reduced-closed-substack	0509	stacks-properties	lemma-reduced-closed-substack	permanent_tag
stacks-properties-lemma-residual-gerbe-isomorphic	0DTI	stacks-properties	lemma-residual-gerbe-isomorphic	permanent_tag
stacks-properties-lemma-residual-gerbe-unique	06MX	stacks-properties	lemma-residual-gerbe-unique	permanent_tag
stacks-properties-lemma-space-locally-quasi-compact	04Y9	stacks-properties	lemma-space-locally-quasi-compact	permanent_tag
stacks-properties-lemma-substacks-presentation	0507	stacks-properties	lemma-substacks-presentation	permanent_tag
stacks-properties-lemma-surjective-permanence	06PN	stacks-properties	lemma-surjective-permanence	permanent_tag
stacks-properties-lemma-topology-points	04XL	stacks-properties	lemma-topology-points	permanent_tag
stacks-properties-lemma-type-property	04YF	stacks-properties	lemma-type-property	permanent_tag
stacks-properties-lemma-unique-point	06MN	stacks-properties	lemma-unique-point	permanent_tag
stacks-properties-lemma-unique-point-better	06MP	stacks-properties	lemma-unique-point-better	permanent_tag
